------------------------------------------------------------------------
Inbound Links for,teznevisan3.com
Scope,pld
Sorted by,source_page_authority
Filters:,external+follow+not_deleted
Anchor text,all
Source PLD,all
------------------------------------------------------------------------

URL,Title,Anchor Text,Spam Score,PA,DA,Linking Domains to Page,Target URL,Link Type,Link State,Date First Seen,Date Last Seen,Date Lost,HTTP Status Code,Links to Page,Outbound Domains from Page,Outbound Links from Page
myspace.com/vickibarber8,Vicki Barber (vickibarber8) on Myspace,www.teznevisan3.com/research-sevices/writing-thesis/,8%,51,95,2,www.teznevisan3.com/research-sevices/writing-thesis,follow,active,2023-03-25,2025-10-29,--,200,78,3,3
www.behance.net/vickibarber,Vicki Barber in Bangladesh :: Behance,www.teznevisan3.com/research-sevices/writing-thesis/,1%,50,93,2,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2021-12-31,2026-01-07,--,,68,10,23
www.intensedebate.com/people/VickiBarber8g,IntenseDebate - VickiBarber8g,screenshot,4%,43,86,2,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2021-12-30,2025-12-22,--,200,153,2,6
coub.com/vickibarber8,VickiBarber8 - Channel on Coub,www.teznevisan3.com/research-sevices/writing-thesis,9%,43,88,2,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-04,2026-01-12,--,200,110,6,6
www.mapleprimes.com/users/VickiBarber8,"\r\n\tVickiBarber8 - Reputation - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,40,63,2,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2021-12-29,2025-12-27,2025-12-24,200,159,7,13
www.pubpub.org/user/zahra-mays-20,,[no anchor text],9%,39,67,3,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2021-12-30,2025-05-03,--,,90,4,7
www.mapleprimes.com/users/VickiBarber8/posts,,https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-02,2025-10-10,--,429,7,7,13
www.mapleprimes.com/users/VickiBarber8/replies,"\r\n\tVickiBarber8 - Replies - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-09,2026-01-16,--,200,7,7,13
www.mapleprimes.com/users/VickiBarber8/answers,"\r\n\tVickiBarber8 - Answers - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-04,2026-01-04,--,200,7,7,13
www.mapleprimes.com/users/VickiBarber8/questions,"\r\n\tVickiBarber8 - Questions - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-09,2026-02-01,--,200,7,7,13
www.mapleprimes.com/users/VickiBarber8/reputation,"\r\n\tVickiBarber8 - Reputation - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-05,2026-01-04,--,200,7,7,13
www.mapleprimes.com/users/VickiBarber8/favorites,"\r\n\tVickiBarber8 - Favorites - MaplePrimes\r\n",https://www.teznevisan3.com/research-sevices/writing-thesis/,25%,37,63,0,www.teznevisan3.com/research-sevices/writing-thesis/,follow,active,2022-01-05,2026-01-04,--,200,7,7,13
